"CLAVE_CASILLA"|"CLAVE_ACTA"|"ID_ESTADO"|"NOMBRE_ESTADO"|"ID_DISTRITO"|"NOMBRE_DISTRITO"|"SECCION"|"ID_CASILLA"|"TIPO_CASILLA"|"EXT_CONTIGUA"|"CASILLA"|"TIPO_ACTA"|"PAN"|"PRI"|"PRD"|"PVEM"|"PT"|"MC"|"MORENA"|"CANDIDATO_A_INDEPENDIENTE"|"PAN_PRI_PRD"|"PAN_PRI"|"PAN_PRD"|"PRI_PRD"|"PVEM_PT_MORENA"|"PVEM_PT"|"PVEM_MORENA"|"PT_MORENA"|"CANDIDATO/A NO REGISTRADO/A"|"VOTOS NULOS"|"TOTAL_VOTOS_CALCULADOS"|"LISTA_NOMINAL"|"OBSERVACIONES"|"MECANISMOS_TRASLADO"|"FECHA_HORA"
"161390B0100'"|"161390B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1390"|"01"|"B"|"00"|"Urbana"|4|32|9|3|20|2|79|91|-0|3|0|0|0|6|1|3|0|0|12|261|431|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:05:43"
"161390C0100'"|"161390C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1390"|"01"|"C"|"00"|"Urbana"|4|18|11|1|24|6|55|115|-0|0|0|0|0|14|0|8|2|0|7|261|430|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:42:44"
"161391B0100'"|"161391B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1391"|"01"|"B"|"00"|"No Urbana"|4|19|4|7|43|7|71|158|-0|1|0|0|0|13|1|3|2|1|8|338|550|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:10:06"
"161391C0100'"|"161391C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1391"|"01"|"C"|"00"|"No Urbana"|4|14|8|7|33|11|72|145|-0|1|0|1|0|18|6|4|1|0|10|331|550|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:15:06"
"161391C0200'"|"161391C02004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1391"|"02"|"C"|"00"|"No Urbana"|4|17|6|8|41|10|50|165|-0|0|0|0|0|14|0|2|3|0|10|326|549|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:31:02"
"161392B0100'"|"161392B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1392"|"01"|"B"|"00"|"Urbana"|4|23|7|0|25|2|62|112|-0|1|1|0|0|7|0|1|1|0|8|250|406|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:43:37"
"161392C0100'"|"161392C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1392"|"01"|"C"|"00"|"Urbana"|4|27|17|6|23|8|55|97|-0|2|0|0|0|3|0|2|2|0|11|253|405|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:44:15"
"161393B0100'"|"161393B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1393"|"01"|"B"|"00"|"Urbana"|4|23|12|1|30|11|71|159|-0|2|1|0|0|12|0|4|2|0|6|334|488|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:11:33"
"161393C0100'"|"161393C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1393"|"01"|"C"|"00"|"Urbana"|4|19|6|2|28|9|71|161|-0|0|0|0|0|14|2|5|3|0|10|330|487|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:23:05"
"161394B0100'"|"161394B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1394"|"01"|"B"|"00"|"No Urbana"|4|39|20|3|36|6|89|145|-0|1|3|0|0|14|0|6|1|0|7|370|622|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:13:17"
"161394C0100'"|"161394C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1394"|"01"|"C"|"00"|"No Urbana"|4|33|21|3|34|9|101|143|-0|1|0|0|0|11|5|7|0|0|18|386|621|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:35:02"
"161395B0100'"|"161395B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1395"|"01"|"B"|"00"|"Urbana"|4|29|12|2|15|9|110|115|-0|1|0|0|0|11|1|3|1|0|8|317|494|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:47:46"
"161395C0100'"|"161395C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1395"|"01"|"C"|"00"|"Urbana"|4|25|12|2|27|9|87|129|-0|4|0|0|0|7|2|2|3|0|9|318|493|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:24:38"
"161396B0100'"|"161396B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1396"|"01"|"B"|"00"|"Urbana"|4|7|14|4|40|12|122|156|-0|3|0|0|0|26|5|5|0|0|14|408|606|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:39:12"
"161396C0100'"|"161396C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1396"|"01"|"C"|"00"|"Urbana"|4|8|6|1|43|13|89|145|-0|0|0|0|0|20|3|1|3|1|18|351|606|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:28:43"
"161397B0100'"|"161397B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1397"|"01"|"B"|"00"|"Urbana"|4|14|6|11|22|10|31|154|-0|0|0|1|0|3|2|5|1|0|4|264|594|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:50:38"
"161398B0100'"|"161398B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1398"|"01"|"B"|"00"|"No Urbana"|4|11|6|12|38|8|48|134|-0|2|0|0|0|5|5|1|0|0|8|278|650|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:44:04"
"161399B0100'"|"161399B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1399"|"01"|"B"|"00"|"Urbana"|4|4|0|3|15|6|25|104|-0|0|0|1|0|12|2|2|0|0|4|178|376|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:56:45"
"161399C0100'"|"161399C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1399"|"01"|"C"|"00"|"Urbana"|4|8|1|8|15|3|47|64|-0|2|0|0|0|10|3|4|0|0|7|172|376|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:46:00"
"161400B0100'"|"161400B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1400"|"01"|"B"|"00"|"Urbana"|4|5|2|7|13|3|36|60|-0|4|0|0|0|29|1|4|0|0|5|169|433|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:45:02"
"161400C0100'"|"161400C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1400"|"01"|"C"|"00"|"Urbana"|4|6|1|11|24|5|42|70|-0|4|0|0|0|18|0|4|1|0|3|189|433|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 11:52:58"
"161401B0100'"|"161401B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1401"|"01"|"B"|"00"|"Urbana"|4|12|9|4|13|6|58|116|-0|1|0|0|0|7|1|3|0|0|8|238|490|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:02:25"
"161401C0100'"|"161401C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1401"|"01"|"C"|"00"|"Urbana"|4|20|8|1|21|6|58|111|-0|0|0|0|0|3|1|0|0|0|8|237|489|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:00:40"
"161402B0100'"|"161402B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1402"|"01"|"B"|"00"|"Urbana"|4|2|2|6|18|6|60|113|-0|0|0|0|0|5|0|2|0|0|3|217|419|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:45:43"
"161402C0100'"|"161402C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1402"|"01"|"C"|"00"|"Urbana"|4|8|4|3|23|8|39|95|-0|0|1|0|0|11|0|3|2|0|6|203|419|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:03:55"
"161403B0100'"|"161403B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1403"|"01"|"B"|"00"|"No Urbana"|4|1|1|9|23|8|24|73|-0|0|0|1|0|7|1|1|1|0|3|153|370|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:14:37"
"161403E0100'"|"161403E01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1403"|"01"|"E"|"00"|"No Urbana"|4|2|11|1|6|5|10|62|-0|1|0|1|0|2|0|1|0|1|0|103|196|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:20:41"
"161404B0100'"|"161404B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1404"|"01"|"B"|"00"|"No Urbana"|4|7|5|4|51|10|28|118|-0|0|0|1|0|7|2|3|0|1|7|244|528|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:55:07"
"161404C0100'"|"161404C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1404"|"01"|"C"|"00"|"No Urbana"|4|13|4|4|30|8|34|129|-0|3|0|0|0|15|5|1|0|0|3|249|527|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:12:59"
"161405B0100'"|"161405B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1405"|"01"|"B"|"00"|"No Urbana"|4|11|8|7|41|9|87|77|-0|2|2|1|0|9|3|3|2|0|10|272|452|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:18:34"
"161405C0100'"|"161405C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1405"|"01"|"C"|"00"|"No Urbana"|4|7|2|6|44|11|84|71|-0|1|2|0|0|5|3|5|0|0|14|255|451|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:16:02"
"161406B0100'"|"161406B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1406"|"01"|"B"|"00"|"No Urbana"|4|1|3|2|16|4|31|57|-0|1|0|0|0|12|1|2|0|0|2|132|207|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:25:43"
"161406E0100'"|"161406E01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1406"|"01"|"E"|"00"|"No Urbana"|4|10|4|3|65|8|15|54|-0|0|0|0|0|3|0|2|0|0|6|170|324|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:46:46"
"161675B0100'"|"161675B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1675"|"01"|"B"|"00"|"Urbana"|4|16|64|82|16|41|10|31|-0|9|2|0|1|1|2|0|9|0|3|287|494|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:49:41"
"161675C0100'"|"161675C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1675"|"01"|"C"|"00"|"Urbana"|4|20|69|84|9|41|10|42|-0|6|1|0|3|2|1|0|9|0|10|307|493|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:47:31"
"161676B0100'"|"161676B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1676"|"01"|"B"|"00"|"Urbana"|4|25|42|61|13|14|8|41|-0|11|0|0|0|1|1|0|8|0|6|231|402|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:37:04"
"161676C0100'"|"161676C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1676"|"01"|"C"|"00"|"Urbana"|4|21|54|59|13|41|13|36|-0|9|0|0|0|13|0|0|0|0|6|265|402|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:48:18"
"161677B0100'"|"161677B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1677"|"01"|"B"|"00"|"Urbana"|4|21|59|116|14|81|23|53|-0|12|1|0|1|4|4|1|10|0|13|413|666|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 13:37:51"
"161678B0100'"|"161678B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1678"|"01"|"B"|"00"|"Urbana"|4|13|43|105|9|47|6|33|-0|6|0|0|3|1|0|0|1|0|5|272|406|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:49:49"
"161678C0100'"|"161678C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1678"|"01"|"C"|"00"|"Urbana"|4|5|37|119|7|48|7|22|-0|3|1|0|1|3|0|1|5|0|5|264|405|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:40:12"
"161679B0100'"|"161679B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1679"|"01"|"B"|"00"|"No Urbana"|4|17|26|205|16|49|12|36|-0|8|3|0|2|1|1|0|7|0|7|390|555|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:50:50"
"161679C0100'"|"161679C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1679"|"01"|"C"|"00"|"No Urbana"|4|19|39|182|10|70|12|34|-0|7|0|1|2|1|0|0|3|0|6|386|555|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:51:41"
"161679E0100'"|"161679E01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1679"|"01"|"E"|"00"|"No Urbana"|4|8|7|33|10|10|1|15|-0|4|0|1|1|0|1|0|14|0|6|111|170|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:51:30"
"161679E0200'"|"161679E02004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1679"|"02"|"E"|"00"|"No Urbana"|4|5|7|48|10|15|2|5|-0|15|0|0|0|1|1|2|1|0|3|115|178|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:52:24"
"161680B0100'"|"161680B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1680"|"01"|"B"|"00"|"Urbana"|4|17|40|164|9|61|8|33|-0|1|7|1|4|1|1|0|5|0|8|360|530|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:53:03"
"161680C0100'"|"161680C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1680"|"01"|"C"|"00"|"Urbana"|4|12|19|174|12|53|6|41|-0|11|0|0|3|2|1|2|4|0|8|348|530|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:54:10"
"161680C0200'"|"161680C02004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1680"|"02"|"C"|"00"|"Urbana"|4|21|46|137|13|38|16|36|-0|17|0|0|3|6|0|0|7|0|13|353|529|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:55:03"
"161681B0100'"|"161681B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1681"|"01"|"B"|"00"|"No Urbana"|4|5|9|70|7|91|3|40|-0|0|0|0|0|2|0|0|16|0|9|252|467|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:47:51"
"161681C0100'"|"161681C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1681"|"01"|"C"|"00"|"No Urbana"|4|7|18|80|20|60|7|35|-0|0|0|0|0|2|1|1|21|0|12|264|467|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 12:53:39"
"161682B0100'"|"161682B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1682"|"01"|"B"|"00"|"No Urbana"|4|14|30|66|28|18|9|29|-0|7|0|0|1|0|0|0|3|0|11|216|305|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:55:58"
"161682E0100'"|"161682E01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1682"|"01"|"E"|"00"|"No Urbana"|4|11|24|113|15|51|9|40|-0|7|1|0|2|4|2|0|24|0|7|310|442|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 09:56:45"
"161683B0100'"|"161683B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1683"|"01"|"B"|"00"|"No Urbana"|4|7|14|120|20|80|3|19|-0|3|0|0|1|2|1|0|15|0|14|299|478|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 13:01:10"
"161683C0100'"|"161683C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1683"|"01"|"C"|"00"|"No Urbana"|4|6|14|122|11|66|6|17|-0|11|0|0|0|10|1|0|6|0|12|282|477|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 13:07:30"
"161719B0100'"|"161719B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1719"|"01"|"B"|"00"|"Urbana"|4|169|11|2|31|9|31|87|-0|10|3|0|0|6|1|1|0|0|9|370|558|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 13:02:49"
"161719C0100'"|"161719C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1719"|"01"|"C"|"00"|"Urbana"|4|172|17|5|18|5|20|73|-0|10|4|1|0|3|1|1|0|0|13|343|558|"Cotejo (Levantada en Casilla)"|"I"|"06/06/2024 09:58:32"
"161719C0200'"|"161719C02004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1719"|"02"|"C"|"00"|"Urbana"|4|178|21|3|14|5|21|85|-0|17|0|0|0|8|0|0|0|0|8|360|557|"Cotejo (Levantada en Casilla)"|"I"|"06/06/2024 09:59:13"
"161720B0100'"|"161720B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1720"|"01"|"B"|"00"|"Urbana"|4|139|14|6|28|13|24|108|-0|9|3|0|2|17|1|5|2|0|5|376|684|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 13:39:53"
"161720C0100'"|"161720C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1720"|"01"|"C"|"00"|"Urbana"|4|152|33|4|30|15|19|98|-0|13|2|2|0|4|7|0|2|0|25|406|684|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 13:20:15"
"161721B0100'"|"161721B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1721"|"01"|"B"|"00"|"No Urbana"|4|144|13|3|26|14|16|112|-0|5|0|0|0|13|1|5|1|0|8|361|740|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 13:33:30"
"161721C0100'"|"161721C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1721"|"01"|"C"|"00"|"No Urbana"|4|125|10|4|28|10|18|108|-0|8|3|0|0|3|0|5|1|0|13|336|740|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 13:42:15"
"161721C0200'"|"161721C02004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1721"|"02"|"C"|"00"|"No Urbana"|4|117|13|6|25|7|25|129|-0|7|2|0|0|9|1|5|3|0|10|359|739|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 13:47:08"
"161721C0300'"|"161721C03004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1721"|"03"|"C"|"00"|"No Urbana"|4|124|8|6|25|8|16|125|-0|5|3|1|0|10|2|3|1|1|16|354|739|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 13:49:21"
"161721E0100'"|"161721E01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1721"|"01"|"E"|"00"|"No Urbana"|4|116|9|3|19|8|20|130|-0|5|1|1|0|6|1|51|0|0|8|378|597|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 14:19:40"
"161721E0101'"|"161721E01014'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1721"|"01"|"E"|"01"|"No Urbana"|4|129|10|5|27|10|18|122|-0|6|0|2|0|7|2|6|0|0|8|352|597|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 14:03:50"
"161721E0102'"|"161721E01024'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1721"|"01"|"E"|"02"|"No Urbana"|4|109|18|3|18|11|15|123|-0|8|2|0|0|7|0|5|0|2|9|330|596|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 13:52:06"
"161722B0100'"|"161722B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1722"|"01"|"B"|"00"|"Urbana"|4|137|19|6|30|8|24|97|-0|6|5|0|0|5|0|2|0|1|17|357|686|"Cotejo (Levantada en Casilla)"|"I"|"06/06/2024 10:00:05"
"161723B0100'"|"161723B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1723"|"01"|"B"|"00"|"Urbana"|4|151|28|7|17|13|17|98|-0|16|7|2|0|10|3|3|3|0|18|393|740|"Cotejo (Levantada en Casilla)"|"I"|"06/06/2024 10:00:58"
"161724B0100'"|"161724B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1724"|"01"|"B"|"00"|"Urbana"|4|95|12|3|4|7|25|70|-0|6|0|1|0|5|1|2|1|1|16|249|419|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 13:35:28"
"161724C0100'"|"161724C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1724"|"01"|"C"|"00"|"Urbana"|4|90|8|4|8|11|8|75|-0|5|1|0|0|4|1|1|1|0|11|228|418|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 13:55:05"
"161725B0100'"|"161725B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1725"|"01"|"B"|"00"|"Urbana"|4|128|16|2|23|4|22|65|-0|6|1|1|0|3|2|5|4|0|9|291|489|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 14:22:41"
"161725C0100'"|"161725C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1725"|"01"|"C"|"00"|"Urbana"|4|136|11|2|14|4|23|67|-0|3|4|0|0|2|1|3|0|0|10|280|489|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 13:59:43"
"161726B0100'"|"161726B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1726"|"01"|"B"|"00"|"Urbana"|4|151|8|5|20|9|26|82|-0|7|0|0|1|9|3|1|0|0|11|333|573|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 14:10:47"
"161726C0100'"|"161726C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1726"|"01"|"C"|"00"|"Urbana"|4|151|13|2|25|11|20|91|-0|8|1|0|0|10|0|3|0|0|12|347|572|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 14:01:38"
"161727B0100'"|"161727B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1727"|"01"|"B"|"00"|"Urbana"|4|117|13|1|11|9|13|82|-0|7|1|0|1|5|1|2|1|0|14|278|422|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 14:08:31"
"161727C0100'"|"161727C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1727"|"01"|"C"|"00"|"Urbana"|4|123|12|2|22|8|19|69|-0|3|3|0|0|2|2|0|2|0|7|274|422|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 14:54:09"
"161728B0100'"|"161728B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1728"|"01"|"B"|"00"|"No Urbana"|4|153|15|2|19|2|17|59|-0|9|5|0|0|4|0|3|0|0|4|292|486|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 14:24:47"
"161728C0100'"|"161728C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1728"|"01"|"C"|"00"|"No Urbana"|4|149|13|2|33|10|15|53|-0|4|0|0|0|4|1|1|0|0|8|293|486|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 14:06:29"
"161729B0100'"|"161729B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1729"|"01"|"B"|"00"|"Urbana"|4|209|26|6|18|7|27|97|-0|4|0|0|0|16|0|0|0|1|10|421|647|"Cotejo (Levantada en Casilla)"|"I"|"06/06/2024 10:01:57"
"161730B0100'"|"161730B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1730"|"01"|"B"|"00"|"Urbana"|4|250|41|3|15|8|30|78|-0|17|2|0|0|4|0|2|1|0|6|457|664|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 14:43:21"
"161731B0100'"|"161731B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1731"|"01"|"B"|"00"|"Urbana"|4|203|19|4|17|6|26|93|-0|13|4|0|0|9|4|0|0|1|16|415|707|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 14:56:17"
"161731C0100'"|"161731C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1731"|"01"|"C"|"00"|"Urbana"|4|182|19|5|17|8|28|90|-0|15|3|2|0|10|2|2|1|1|14|399|706|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 14:26:19"
"161732B0100'"|"161732B01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1732"|"01"|"B"|"00"|"Urbana"|4|246|26|1|9|10|24|74|-0|7|1|0|0|2|0|0|0|0|7|407|566|"Cotejo (Levantada en Casilla)"|"I"|"06/06/2024 10:04:04"
"161732C0100'"|"161732C01004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1732"|"01"|"C"|"00"|"Urbana"|4|215|33|2|17|7|20|63|-0|19|1|0|0|11|4|1|0|0|2|395|566|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 14:48:12"
"161732C0200'"|"161732C02004'"|"16"|"MICHOACAN"|"004"|"JIQUILPAN DE JUAREZ"|"1732"|"02"|"C"|"00"|"Urbana"|4|213|35|3|24|7|14|84|-0|9|3|2|0|6|1|0|1|0|7|409|566|"Recuento (Para recuento-SRA)"|"I"|"06/06/2024 14:30:08"
